onet_soc_code,rank,soc_code,occupation_title,occupation_description,knn_similarity,minkowski_distance,interest_score,skill_score,education_score,job_zone_score,labor_market_score,profile_name,weight_interest,weight_skill,weight_education,weight_job_zone,weight_labor_market,model,distance_metric,why
29-1123.00,1,29-1123,Physical Therapists,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",0.8561070924332049,0.16807816316277246,0.9478952431261424,0.460544136624478,1.0,1.0,0.8141446867149369,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.95); Education fit (1.00)."
29-1051.00,2,29-1051,Pharmacists,"Dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use. May advise physicians and other health practitioners on the selection, dosage, interactions, and side effects of medications.",0.8535458192410836,0.1715832676553131,0.9647429829697697,0.44641192929156237,1.0,1.0,0.8701867606529112,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.96); Education fit (1.00)."
29-1071.00,3,29-1071,Physician Assistants,"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",0.8528179237940238,0.17258323506052894,0.9691558970344014,0.47420719318146376,1.0,1.0,0.8074783855946779,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.97); Education fit (1.00)."
29-1229.02,4,29-1229,Hospitalists,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment.",0.8526176771521589,0.17285862913388705,0.977050016458834,0.4737072804045514,1.0,1.0,0.8960350641547551,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1122.01,5,29-1122,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Provide therapy to patients with visual impairments to improve their functioning in daily life activities. May train patients in activities such as computer use, communication skills, or home management skills.",0.8523467623433798,0.17323141728217906,0.9161372138979215,0.4460627612560737,1.0,1.0,0.7558240930820841,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.92); Education fit (1.00)."
29-1171.00,6,29-1171,Nurse Practitioners,"Diagnose and treat acute, episodic, or chronic illness, independently or as part of a healthcare team. May focus on health promotion and disease prevention. May order, perform, or interpret diagnostic tests such as lab work and x rays. May prescribe medication. Must be registered nurses who have specialized graduate education.",0.8522051831760192,0.1734263294118624,0.9754416939000632,0.473650336712443,1.0,1.0,0.8656035978474306,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
29-1127.00,7,29-1127,Speech-Language Pathologists,"Assess and treat persons with speech, language, voice, and fluency disorders. May select alternative communication systems and teach their use. May perform research related to speech and language problems.",0.8518203176774813,0.17395650144450164,0.9562619298699992,0.46211225096927694,1.0,1.0,0.7648934763300084,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.96); Education fit (1.00)."
29-1141.04,8,29-1141,Clinical Nurse Specialists,"Direct nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards.",0.8511056334884066,0.17494228759986397,0.9784062253910011,0.44180898738032515,1.0,1.0,0.9070549277469862,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
21-1022.00,9,21-1022,Healthcare Social Workers,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family caregivers. Provide patients with information and counseling, and make referrals for other services. May also provide case and care management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare.",0.8509270780412805,0.17518883322160247,0.9703833977771176,0.4691660429747207,1.0,1.0,0.6759745394659502,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.97); Education fit (1.00)."
29-1071.01,10,29-1071,Anesthesiologist Assistants,Assist anesthesiologists in the administration of anesthesia for surgical and non-surgical procedures. Monitor patient status and provide patient care during surgical treatment.,0.8499372223409652,0.17655748414655814,0.9227444845921513,0.43739626791354036,1.0,1.0,0.8074783855946779,Healthcare,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.92); Education fit (1.00)."
11-9199.10,1,11-9199,Wind Energy Development Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",0.8567179650177422,0.1672452788815868,0.9719031400952605,0.41089014567628057,1.0,1.0,0.9309088868473923,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
13-1082.00,2,13-1082,Project Management Specialists,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer.",0.8550021457921954,0.16958770796236783,0.9792121551511053,0.3306542134190783,1.0,1.0,0.8731742030302194,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.98); Education fit (1.00)."
13-2052.00,3,13-2052,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",0.8536658017892673,0.17141860187443256,0.9746457184155848,0.39516686444394833,1.0,1.0,0.8200493345543611,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
11-9199.02,4,11-9199,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",0.8535524343803291,0.17157418773691444,0.9629038621178201,0.36989945754377235,1.0,1.0,0.9309088868473923,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.96); Education fit (1.00)."
13-1141.00,5,13-1141,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",0.8533533555197194,0.17184750435646687,0.9714662579252865,0.35089477543300457,1.0,1.0,0.6446871987038916,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
13-1199.06,6,13-1199,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",0.8526340701541479,0.17283607939712026,0.9379770107525323,0.4390555164452949,1.0,1.0,0.8170302659121838,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.94); Education fit (1.00)."
41-3031.00,7,41-3031,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",0.8522499554176242,0.17336468443694392,0.969333468904962,0.440508926968959,1.0,1.0,0.7618377774584917,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
11-3031.00,8,11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",0.8515993627940437,0.1742610946995818,0.9674067849652171,0.3967239612087889,1.0,1.0,0.9520062057625351,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
13-1071.00,9,13-1071,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",0.8506304308082954,0.17559866633241533,0.9625030310155089,0.3442352962603308,1.0,1.0,0.7581235356978895,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.96); Education fit (1.00)."
41-4012.00,10,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,0.8500366161883596,0.17641991057289946,0.9745306927482427,0.43282725492274454,1.0,1.0,0.7419343953953126,Business,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Enterprising interest, 0.97); Education fit (1.00)."
49-9051.00,1,49-9051,Electrical Power-Line Installers and Repairers,Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.,0.873242012444507,0.1451579124103905,0.9800713136571956,0.45954897551813606,1.0,1.0,0.7093257207764847,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.98); Education fit (1.00)."
49-9052.00,2,49-9052,Telecommunications Line Installers and Repairers,"Install and repair telecommunications cable, including fiber optics.",0.8712731795590382,0.1477456479334209,0.989039419061863,0.4405738384559768,1.0,1.0,0.6070796391679014,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.99); Education fit (1.00)."
47-2073.00,3,47-2073,Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties.",0.8702013630937967,0.14915931232828078,0.9647258566259939,0.5103815785407981,1.0,1.0,0.6901898349919283,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.96); Skills (Operation and control, 0.51)."
53-3032.00,4,53-3032,Heavy and Tractor-Trailer Truck Drivers,"Drive a tractor-trailer combination or a truck with a capacity of at least 26,001 pounds Gross Vehicle Weight (GVW). May be required to unload truck. Requires commercial drivers' license. Includes tow truck drivers.",0.8675136869404984,0.15271956518259366,0.9692355130998175,0.4818520822512522,1.0,1.0,0.7256441477985459,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.97); Education fit (1.00)."
51-4121.00,5,51-4121,"Welders, Cutters, Solderers, and Brazers","Use hand-welding, flame-cutting, hand-soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products.",0.8650112596688864,0.15605431585108542,0.9671950179809234,0.43584481619219473,1.0,1.0,0.6423897894210809,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.97); Education fit (1.00)."
47-2211.00,6,47-2211,Sheet Metal Workers,"Fabricate, assemble, install, and repair sheet metal products and equipment, such as ducts, control boxes, drainpipes, and furnace casings. Work may involve any of the following: setting up and operating fabricating machines to cut, bend, and straighten sheet metal; shaping metal over anvils, blocks, or forms using hammer; operating soldering and welding equipment to join sheet metal parts; or inspecting, assembling, and smoothing seams and joints of burred surfaces. Includes sheet metal duct installers who install prefabricated sheet metal ducts used for heating, air conditioning, or other purposes.",0.8615653462380551,0.16067806622725364,0.9491529986561038,0.41725502688920824,1.0,1.0,0.5706964938022197,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.95); Education fit (1.00)."
49-3021.00,7,49-3021,Automotive Body and Related Repairers,Repair and refinish automotive vehicle bodies and straighten vehicle frames.,0.8609988683308154,0.16144171239000657,0.9559023472756352,0.46571773157707674,1.0,1.0,0.553725948920982,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.96); Education fit (1.00)."
47-2051.00,8,47-2051,Cement Masons and Concrete Finishers,"Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints.",0.8594432846474257,0.1635439101839462,0.9457649736506539,0.3890552923578852,1.0,1.0,0.602573349955566,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.95); Education fit (1.00)."
47-2031.00,9,47-2031,Carpenters,"Construct, erect, install, or repair structures and fixtures made of wood and comparable materials, such as concrete forms; building frameworks, including partitions, joists, studding, and rafters; and wood stairways, window and door frames, and hardwood floors. May also install cabinets, siding, drywall, and batt or roll insulation. Includes brattice builders who build doors or brattices (ventilation walls or partitions) in underground passageways.",0.8593598036334108,0.16365694063412814,0.9731002552303709,0.3578114192155041,1.0,1.0,0.7092913733224777,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.97); Education fit (1.00)."
53-7081.00,10,53-7081,Refuse and Recyclable Material Collectors,Collect and dump refuse or recyclable materials from containers into truck. May drive truck.,0.8585467573602699,0.16475892713711857,0.9657187381274269,0.4532037402264919,1.0,1.0,0.5204916426839197,Skilled Trades,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Realistic interest, 0.97); Education fit (1.00)."
27-3043.05,1,27-3043,"Poets, Lyricists and Creative Writers","Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance.",0.85253331367653,0.17297469079246125,0.9568527702775596,0.5276284548133622,1.0,1.0,0.5647859621471706,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.96); Skills (Writing, 0.53)."
27-2012.04,2,27-2012,Talent Directors,"Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions.",0.8516530994179264,0.1741870025289207,0.9243134412811272,0.3754044906596217,1.0,1.0,0.7141239512537063,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.92); Education fit (1.00)."
27-1011.00,3,27-1011,Art Directors,"Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design.",0.8498329561933241,0.17670183618122137,0.9707017424898963,0.36951736007865216,1.0,1.0,0.7144297040652389,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.97); Education fit (1.00)."
27-1024.00,4,27-1024,Graphic Designers,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects.",0.848565294204059,0.17845969759814942,0.9454931158708298,0.4318080720537192,1.0,1.0,0.591483113388686,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
15-1255.01,5,15-1255,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",0.8471932328842151,0.18036825742288326,0.9347746979541844,0.40434523257825894,1.0,1.0,0.7518657561204987,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.93); Education fit (1.00)."
27-3043.00,6,27-3043,Writers and Authors,"Originate and prepare written material, such as scripts, stories, advertisements, and other material.",0.8466822757207639,0.18108058793213752,0.9547223750930673,0.477423349870971,1.0,1.0,0.5647859621471706,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
27-3041.00,7,27-3041,Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",0.8457632181972509,0.18236402161293527,0.8980517339127209,0.4127493320810033,1.0,1.0,0.6202702467356616,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.90); Education fit (1.00)."
27-1014.00,8,27-1014,Special Effects Artists and Animators,"Create special effects or animations using film, video, computers, or other electronic tools and media for use in products, such as computer games, movies, music videos, and commercials.",0.8428977251292383,0.18638355542681492,0.9393860880606535,0.3949391218462836,1.0,1.0,0.5962480244166859,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.94); Education fit (1.00)."
27-4032.00,9,27-4032,Film and Video Editors,"Edit moving images on film, video, or other media. May work with a producer or director to organize images for final production. May edit or synchronize soundtracks with images.",0.84239241242533,0.18709521269416732,0.9287783881833389,0.4081512428256202,1.0,1.0,0.49758837333844186,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.93); Education fit (1.00)."
15-1255.00,10,15-1255,Web and Digital Interface Designers,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.",0.8421031211787365,0.18750302053298049,0.8246988021959147,0.3950201827502646,1.0,1.0,0.7518657561204987,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Artistic interest, 0.82); Education fit (1.00)."
25-2031.00,1,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",Teach one or more subjects to students at the secondary school level.,0.8580294879035015,0.165461110717054,0.9482298967087553,0.4909816087585067,1.0,1.0,0.8445927328389373,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.95); Education fit (1.00)."
25-3021.00,2,25-3021,Self-Enrichment Teachers,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness.",0.8576051577275806,0.1660377634035305,0.9400431040571585,0.5147747373840856,1.0,1.0,0.6610849116748655,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.94); Skills (Active listening, 0.51)."
25-2021.00,3,25-2021,"Elementary School Teachers, Except Special Education",Teach academic and social skills to students at the elementary school level.,0.8547449191626918,0.16993968326784578,0.9448193587617854,0.5213028799671859,1.0,1.0,0.8343769223257552,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.94); Skills (Instructing, 0.52)."
25-2012.00,4,25-2012,"Kindergarten Teachers, Except Special Education",Teach academic and social skills to kindergarten students.,0.8543637917111575,0.1704615875599735,0.9360614422864888,0.5377778452785701,1.0,1.0,0.5973949356648689,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.94); Skills (Instructing, 0.54)."
21-1092.00,5,21-1092,Probation Officers and Correctional Treatment Specialists,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations.",0.8541813337738853,0.17071160473838595,0.9721362643561972,0.4681830599326261,1.0,1.0,0.5812623269867946,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.97); Education fit (1.00)."
21-1093.00,6,21-1093,Social and Human Service Assistants,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",0.8538397460720307,0.1711799604086818,0.9818460025472675,0.5061255194978527,1.0,1.0,0.692861247965328,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.98); Skills (Active listening, 0.51)."
25-2022.00,7,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","Teach one or more subjects to students at the middle, intermediate, or junior high school level.",0.8536068917064985,0.17149944513784085,0.9411791327524865,0.49466050153329577,1.0,1.0,0.7964777549785321,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.94); Education fit (1.00)."
13-1041.03,8,13-1041,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",0.8500788005093085,0.17636153189665363,0.8984277617048559,0.4654219989575922,1.0,1.0,0.8199368932914446,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.90); Education fit (1.00)."
21-1015.00,9,21-1015,Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.",0.8498249812562101,0.1767128785997811,0.9907117105681569,0.5154247680313914,1.0,1.0,0.5017294323195167,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.99); Skills (Active listening, 0.52)."
25-3031.00,10,25-3031,"Substitute Teachers, Short-Term","Teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan.",0.8492944062118566,0.17744799999371466,0.9459835687341953,0.5361361637546738,1.0,1.0,0.6871167399469944,Social Services,0.3,0.3,0.15,0.1,0.15,knn_minkowski,minkowski,"Strongest fit: Interests (Social interest, 0.95); Skills (Active listening, 0.54)."
